,DATASET,COMPRESSION_TYPE,IMAGE,COMPRESSION_LEVEL,ACCURACY,F1_SCORE,MCC,JACCARD
91,comofod,JPEG,11,2,0.9902191162109375,0.0,,0.0
92,comofod,JPEG,11,3,0.9902191162109375,0.0,,0.0
93,comofod,JPEG,11,4,0.99041748046875,0.04048892284186402,0.1417259647042474,0.020662768031189084
94,comofod,JPEG,11,5,0.9905929565429688,0.07778608825729244,0.19479922354533166,0.04046692607003891
95,comofod,JPEG,11,6,0.990570068359375,0.0734632683658171,0.1887728347787443,0.03813229571984436
96,comofod,JPEG,11,7,0.9909553527832031,0.1418747737965979,0.27310862514804946,0.07635372029606545
97,comofod,JPEG,11,8,0.9914588928222656,0.227131515360718,0.35449023963825754,0.1281152647975078
98,comofod,JPEG,11,9,0.990936279296875,0.13725490196078433,0.2695419664565844,0.07368421052631578
99,comofod,JPEG,12,1,0.9396514892578125,0.03759581457598248,0.044515154661590575,0.019158038316076632
100,comofod,JPEG,12,2,0.9416961669921875,0.04558511302610216,0.07060928965728157,0.023324174068630583
101,comofod,JPEG,12,3,0.9416694641113281,0.077354733602848,0.10761497706497736,0.040233492342455435
102,comofod,JPEG,12,4,0.944976806640625,0.1022034109299141,0.1756892638287262,0.0538537225319777
103,comofod,JPEG,12,5,0.9444007873535156,0.12530756766488627,0.18263101887199495,0.06684166720020487
104,comofod,JPEG,12,6,0.947845458984375,0.1873514027579648,0.2733329532807291,0.10335781741867786
105,comofod,JPEG,12,7,0.9495353698730469,0.2451355206847361,0.3227411758641585,0.13968914612733302
106,comofod,JPEG,12,8,0.9532737731933594,0.33871403120444854,0.4069657910656258,0.20388665020148186
107,comofod,JPEG,12,9,0.9488487243652344,0.2302083931339342,0.3064123876550944,0.13007655378227587
108,comofod,JPEG,13,1,0.9094161987304688,0.0,,0.0
109,comofod,JPEG,13,2,0.909942626953125,0.011886824041520173,0.07254353865376455,0.005978947368421052
110,comofod,JPEG,13,3,0.9105949401855469,0.025772124537556635,0.10881426034472011,0.013054280540699879
111,comofod,JPEG,13,4,0.911468505859375,0.04485965923121245,0.14352079651906854,0.022944470172188775
112,comofod,JPEG,13,5,0.9124374389648438,0.065010183299389,0.17430210075168573,0.0335971707645672
